"ID","NAME","CAPACITY","YEAR_OF_CONSTRUCTION","CITY"
"1","Old Trafford","76200","1909","Manchester"
"2","Anfield","45400","1884","Liverpool"
"3","Stamford Bridge","42000","1877","London"
"4","St James' Park","52350","2000","Newcastle"
"5","St Mary's Stadium","32689","2001","Southampton"
"6","Villa Park","42788","1897","Birmingham"
"7","White Hart Lane","36200","1899","London"
"8","Emirates Stadium","60350","2006","London"
"9","Etihad Stadium","47405","1999","Manchester"
"10","Goodison Park","40157","1892","Liverpool"
"11","Boleyn Ground [Upton Park]","35016","1904","London"
"12","Stadium of Light","49000","1997","Sunderland"
"13","The Hawthorns","27000","1900","West Bromwich"
"14","Selhurst Park","26309","1924","London"
"15","Britannia Stadium","27740","1997","Stoke"
"16","The KC Stadium","25586","2002","Hull"
"17","Liberty Stadium","20750","2003","Swansea"
"18","King Power Stadium","32262","2002","Leicester"
"19","Turf Moor","22546","1883","Burnley"
"20","Loftus Road","18439","1904","London"
